VideoName,UserIndex,epochCNN
1-1-Conan Gore Fly,1,200
running time,epochs,FirstLoss,FinalLoss
0.936,1.0,0.6,4.0,3.943845748901367
0.936,1.0,0.6,4.0,3.8942201137542725
0.936,1.0,0.6,4.0,3.8993148803710938
0.303,1.0,0.1210592686002522,19.825,3.951000690460205
0.641,1.0,0.210989010989011,11.375,3.9309988021850586
0.916,0.3958333333333333,0.59375,1.6,3.784573554992676
0.904,0.0,0,0.0,3.877000570297241
0.909,1.0,0.5133689839572193,4.675,3.376999855041504
0.916,0.34375,0.6111111111111112,1.35,3.4143564701080322
0.936,1.0,0.6,4.0,3.805590867996216
0.936,1.0,0.6,4.0,3.7979512214660645
0.936,1.0,0.6,4.0,3.953963041305542
0.936,1.0,0.6,4.0,3.711193323135376
0.936,1.0,0.6,4.0,3.7300117015838623
0.912,0.9615384615384616,0.5434782608695652,4.6,4.123582601547241
0.904,0.8839285714285714,0.5439560439560439,4.55,3.870971441268921
0.913,0.89,0.5393939393939394,4.125,3.687906503677368
0.902,0.9428571428571428,0.4125,4.0,3.5929741859436035
